,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
9190,汽车运用与维修专业课教师,长春市弘晟科技中等职业学校,"[4.0, 5.0, 4.5]",长春-经济技术开发区,民营公司,50-150人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '免费午餐', '可提供住宿', '生日会', '团建']","""大专""",4.0,5.0,4.5
9191,医学信息专员,成都康弘药业集团股份有限公司,"[10.0, 12.0, 11.0]",异地招聘,上市公司,1000-5000人,"['制药', '生物工程']","['五险一金', '免费班车', '定期体检', '专业培训', '绩效奖金', '年终奖金']","""本科""",10.0,12.0,11.0
9192,国外管培生,长春市本途商贸有限公司,"[18.0, 24.0, 21.0]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",18.0,24.0,21.0
9193,运营商负责人,长春市本途商贸有限公司,"[4.0, 7.0, 5.5]",长春-二道区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""1年经验""",4.0,7.0,5.5
9194,商务文员,长春市本途商贸有限公司,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",4.0,5.0,4.5
9195,销售业务员,长春市本途商贸有限公司,"[3.0, 7.0, 5.0]",长春-二道区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",3.0,7.0,5.0
9196,销售督导,长春市本途商贸有限公司,"[2.0, 4.0, 3.0]",长春-二道区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",2.0,4.0,3.0
9197,OPPO专卖店店长,长春市本途商贸有限公司,"[4.0, 7.0, 5.5]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""2年经验""",4.0,7.0,5.5
9198,OPPO手机导购,长春市本途商贸有限公司,"[4.0, 7.0, 5.5]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""中专""",4.0,7.0,5.5
9199,IOT 产品经理\销售经理,长春市本途商贸有限公司,"[7.0, 12.0, 9.5]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",7.0,12.0,9.5
9200,智能产品网络营销,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",5.0,7.0,6.0
9201,OPPO手机维修师,长春市本途商贸有限公司,"[4.0, 5.0, 4.5]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",4.0,5.0,4.5
9202,渠道业务员,长春市本途商贸有限公司,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",4.0,5.0,4.5
9203,客服主管,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']","['五险一金', '绩效奖金', '年终奖金']","""大专""",5.0,7.0,6.0
9204,管培生-市场营销类,长春市本途商贸有限公司,"[10.0, 12.0, 11.0]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",10.0,12.0,11.0
9205,专卖店店长,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],[''],5.0,7.0,6.0
9206,专卖店店长,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],[''],5.0,7.0,6.0
9207,运营商负责人,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",5.0,7.0,6.0
9208,渠道管理,长春市本途商贸有限公司,"[4.0, 10.0, 7.0]",异地招聘,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",4.0,10.0,7.0
9209,管培生-渠道管理类,长春市本途商贸有限公司,"[10.0, 12.0, 11.0]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",10.0,12.0,11.0
9210,管培生-销售类,长春市本途商贸有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""本科""",5.0,10.0,7.5
9211,OPPO客服前台,长春市本途商贸有限公司,"[4.0, 5.0, 4.5]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],"""大专""",4.0,5.0,4.5
9212,互联网广告销售经理,长春市本途商贸有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,1000-5000人,"['批发', '零售']",['五险一金'],[''],5.0,7.0,6.0
9213,会计,长春市本途商贸有限公司,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,1000-5000人,"['批发', '零售']",[''],"""大专""",4.0,5.0,4.5
9214,班主任辅导员,长春市弘晟科技中等职业学校,"[4.0, 5.0, 4.5]",长春-经济技术开发区,民营公司,50-150人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
9215,通信工程专业教师,长春市弘晟科技中等职业学校,"[4.0, 5.0, 4.5]",长春-经济技术开发区,民营公司,50-150人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
9216,医药学术推广,通化东宝医药经营有限公司,"[12.0, 18.0, 15.0]",长春-朝阳区,上市公司,1000-5000人,"['制药', '生物工程']",[''],"""本科""",12.0,18.0,15.0
9217,生产班长,长春市华光轿车附件有限公司,"[5.0, 7.0, 6.0]",长春-高新技术产业开发区,民营公司,50-150人,['汽车'],[''],"""中专""",5.0,7.0,6.0
9218,检测试验员,长春一汽实业合成材料有限公司,"[5.0, 7.0, 6.0]",长春-农安县,民营公司,150-500人,['汽车零配件'],"['五险一金', '定期体检', '专业培训', '绩效奖金']","""本科""",5.0,7.0,6.0
9219,导视设计师,长春金未来形象工程有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],"['节日福利', '免费班车', '工作餐', '五险']","""大专""",4.0,5.0,4.5
9220,主案设计师,长春金未来形象工程有限公司,"[8.0, 10.0, 9.0]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],"['节日福利', '免费班车', '工作餐', '五险']","""大专""",8.0,10.0,9.0
9221,现场应用工程师（FAE）,长春金未来形象工程有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],"['节日福利', '免费班车', '带薪年假', '加班补贴', '工作餐']","""大专""",7.0,10.0,8.5
9222,冲压操作工,云嘉集团有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,500-1000人,['汽车'],[''],"""无需经验""",5.0,7.0,6.0
9223,喷漆工,长春金未来形象工程有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],"['节日福利', '六险', '免费班车', '带薪年假', '加班补贴', '包吃', '13薪']","""3-4年经验""",5.0,7.0,6.0
9224,生产经理,长春金未来形象工程有限公司,"[6.0, 8.0, 7.0]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],"['五险', '午餐', '13薪', '免费班车', '节日福利']","""大专""",6.0,8.0,7.0
9225,招聘专员,吉林梅花氨基酸有限责任公司,"[4.0, 5.0, 4.5]",异地招聘,上市公司,1000-5000人,"['制药', '生物工程']","['五险一金', '免费班车', '员工旅游', '出国机会', '绩效奖金', '年终奖金', '股票期权']","""大专""",4.0,5.0,4.5
9226,销售总监,长春金未来形象工程有限公司,"[18.0, 24.0, 21.0]",长春-朝阳区,民营公司,150-500人,['多元化业务集团公司'],[''],"""大专""",18.0,24.0,21.0
9227,检验员,上海元通座椅系统有限公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,['汽车'],[''],"""高中""",5.0,7.0,6.0
9228,操作工,上海元通座椅系统有限公司,"[5.0, 7.0, 6.0]",长春-净月经济开发区,民营公司,1000-5000人,['汽车'],[''],"""无需经验""",5.0,7.0,6.0
9229,销售代表,杭州二次颜科技有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,150-500人,['租赁服务'],"['五险一金', '专业培训', '股票期权', '年终奖金', '绩效奖金', '定期体检', '弹性工作', '员工旅游']","""大专""",7.0,10.0,8.5
9230,销售专员,杭州二次颜科技有限公司,"[10.0, 12.0, 11.0]",长春-朝阳区,民营公司,150-500人,['租赁服务'],"['五险一金', '专业培训', '股票期权', '年终奖金', '绩效奖金', '定期体检', '弹性工作', '员工旅游']","""大专""",10.0,12.0,11.0
9231,销售顾问,杭州二次颜科技有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,150-500人,['租赁服务'],"['五险一金', '专业培训', '股票期权', '年终奖金', '绩效奖金', '定期体检', '弹性工作', '员工旅游']","""大专""",5.0,7.0,6.0
9232,AI智能编程Python课老师,吉林省核星教育科技有限公司,"[4.0, 14.0, 9.0]",长春-高新技术产业开发区,合资,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,14.0,9.0
9233,诚聘汽车销售（六险一金）长春,车好多-瓜子二手车,"[18.0, 24.0, 21.0]",长春-绿园区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '补充公积金', '补充医疗保险', '员工旅游']","""大专""",18.0,24.0,21.0
9234,汽车销售,车好多-瓜子二手车,"[12.0, 18.0, 15.0]",长春-绿园区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '节日福利', '弹性工作', '专业培训', '绩效奖金', '带薪年假']","""大专""",12.0,18.0,15.0
9235,汽车销售-(六险一金月薪过万),车好多-瓜子二手车,"[12.0, 19.0, 15.5]",长春-绿园区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '补充公积金', '补充医疗保险', '员工旅游']","""高中""",12.0,19.0,15.5
9236,月入过万+汽车销售,车好多-瓜子二手车,"[12.0, 18.0, 15.0]",长春-绿园区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '补充公积金', '补充医疗保险', '员工旅游']","""大专""",12.0,18.0,15.0
9237,潮牌店长,长春市朝阳区石一服装经销店,"[10.0, 12.0, 11.0]",长春-朝阳区,民营公司,50-150人,"['服装', '纺织', '皮革']",[''],"""高中""",10.0,12.0,11.0
9238,分支机构经理,上海一橙网络科技股份有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,5000-10000人,"['通信', '电信', '网络设备']",[''],"""大专""",5.0,7.0,6.0
9239,人力资源主管,上海一橙网络科技股份有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,5000-10000人,"['通信', '电信', '网络设备']","['节日福利', '五险', '年终奖金']","""大专""",5.0,7.0,6.0
9240,行政司机,长春市合鸿金属材料有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,民营公司,50-150人,['原材料和加工'],"['五险一金', '包吃', '交通补贴', '专业培训', '节日福利', '全勤奖', '加班补贴', '免费班车', '住房补贴']","""高中""",4.0,5.0,4.5
9241,设备维修工,长春市合鸿金属材料有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,50-150人,['原材料和加工'],"['五险一金', '包吃', '免费班车', '节日福利', '加班补贴', '专业培训', '全勤奖', '住房补贴', '绩效奖金']","""高中""",5.0,7.0,6.0
9242,销售经理（吉林）,长春市布拉泽医疗科技有限公司,"[5.0, 12.0, 8.5]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']",[''],"""大专""",5.0,12.0,8.5
9243,血球研发工程师,长春市布拉泽医疗科技有限公司,"[6.0, 12.0, 9.0]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']",[''],"""硕士""",6.0,12.0,9.0
9244,免疫研发工程师,长春市布拉泽医疗科技有限公司,"[6.0, 12.0, 9.0]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']",[''],"""硕士""",6.0,12.0,9.0
9245,售后工程师,长春市布拉泽医疗科技有限公司,"[5.0, 10.0, 7.5]",异地招聘,民营公司,50-150人,"['医疗设备', '器械']",[''],"""本科""",5.0,10.0,7.5
9246,售后工程师（辽宁）,长春市布拉泽医疗科技有限公司,"[5.0, 10.0, 7.5]",异地招聘,民营公司,50-150人,"['医疗设备', '器械']",[''],"""本科""",5.0,10.0,7.5
9247,销售内勤,长春市布拉泽医疗科技有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']",[''],"""本科""",4.0,5.0,4.5
9248,上位机软件工程师,长春市布拉泽医疗科技有限公司,"[4.0, 7.0, 5.5]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']","['五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '定期体检']","""本科""",4.0,7.0,5.5
9249,城市经理,华为手机营销项目（HONOR）,"[8.0, 14.0, 11.0]",长春-朝阳区,外资（欧美）,5000-10000人,"['通信', '电信运营、增值服务']","['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴', '交通补贴', '员工旅游', '专业培训']","""大专""",8.0,14.0,11.0
9250,培训讲师,华为手机营销项目（HONOR）,"[6.0, 10.0, 8.0]",长春-朝阳区,外资（欧美）,5000-10000人,"['通信', '电信运营、增值服务']",[''],"""大专""",6.0,10.0,8.0
9251,后期制作\课程视频剪辑\后期,辽宁向日葵教育科技有限公司,"[5.0, 10.0, 7.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '定期体检', '带薪培训', '股权激励', '周末双休']","""大专""",5.0,10.0,7.5
9252,销售助理（吉林）,中科软股信息技术（北京）有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,150-500人,"['教育', '培训', '院校']","['周末双休', '带薪年假', '五险一金', '绩效奖金', '通讯补贴']","""本科""",5.0,7.0,6.0
9253,建筑总承包管理工程师,中建二局安装工程有限公司深圳分公司,"[16.0, 25.0, 20.5]",异地招聘,国企,1000-5000人,"['建筑', '建材', '工程']",[''],"""本科""",16.0,25.0,20.5
9254,跟班质检员,长春市大华塑胶制品有限公司,"[4.0, 5.0, 4.5]",长春-经济技术开发区,民营公司,150-500人,['汽车'],"['交通补贴', '免费班车', '绩效奖金', '包住宿', '加班补贴']","""大专""",4.0,5.0,4.5
9255,电力资料员,德盈建设集团有限公司,"[6.0, 8.0, 7.0]",长春-净月经济开发区,民营公司,50-150人,"['电气', '电力', '水利']","['五险一金', '餐饮补贴', '弹性工作', '交通补贴', '年终奖金', '定期体检']","""大专""",6.0,8.0,7.0
9256,施工现场管理员,吉林省洪岩建筑工程有限公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,150-500人,"['建筑', '建材', '工程']",[''],"""大专""",5.0,7.0,6.0
9257,资料员,德盈建设集团有限公司,"[6.0, 8.0, 7.0]",长春-净月经济开发区,民营公司,50-150人,"['电气', '电力', '水利']","['五险一金', '餐饮补贴', '弹性工作', '交通补贴']","""本科""",6.0,8.0,7.0
9258,资料员,德盈建设集团有限公司,"[10.0, 12.0, 11.0]",长春-净月经济开发区,民营公司,50-150人,"['电气', '电力', '水利']","['五险一金', '带薪年假', '包吃']","""大专""",10.0,12.0,11.0
9259,合规专员,长春金赛药业股份有限公司,"[5.0, 7.0, 6.0]",长春,上市公司,1000-5000人,"['制药', '生物工程']","['五险一金', '带薪休假', '免费班车', '定期体检', '餐饮补贴', '节假日福利', '带薪年假']","""本科""",5.0,7.0,6.0
9260,法务专员,长春金赛药业股份有限公司,"[5.0, 7.0, 6.0]",长春,上市公司,1000-5000人,"['制药', '生物工程']","['五险一金', '带薪休假', '免费班车', '定期体检', '餐饮补贴', '节假日福利', '带薪年假']","""本科""",5.0,7.0,6.0
9261,客户经理,华融融达期货股份有限公司,"[4.0, 18.0, 11.0]",长春-朝阳区,国企,500-1000人,"['金融', '投资', '证券']","['五险一金', '补充医疗保险', '餐饮补贴', '定期体检', '绩效奖金', '员工旅游', '年终奖金']","""本科""",4.0,18.0,11.0
9262,图纸报价审核员,长春东易富盛德装饰有限公司,"[2.0, 5.0, 3.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",2.0,5.0,3.5
9263,销售经理,长春东易富盛德装饰有限公司,"[10.0, 12.0, 11.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",10.0,12.0,11.0
9264,营销总监,长春东易富盛德装饰有限公司,"[10.0, 12.0, 11.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",10.0,12.0,11.0
9265,新媒体运营主管,长春东易富盛德装饰有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",7.0,10.0,8.5
9266,客服部文员（实习生）,长春东易富盛德装饰有限公司,"[2.0, 4.0, 3.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",2.0,4.0,3.0
9267,平面设计师,长春东易富盛德装饰有限公司,"[2.0, 4.0, 3.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",2.0,4.0,3.0
9268,网络客服专员,长春东易富盛德装饰有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",4.0,5.0,4.5
9269,工程监理,长春东易富盛德装饰有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""无需经验""",7.0,10.0,8.5
9270,外阜拓单员,长春东易富盛德装饰有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""无需经验""",5.0,7.0,6.0
9271,文案编辑,长春东易富盛德装饰有限公司,"[2.0, 5.0, 3.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",2.0,5.0,3.5
9272,活动策划,长春东易富盛德装饰有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",7.0,10.0,8.5
9273,企划经理,长春东易富盛德装饰有限公司,"[10.0, 12.0, 11.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",10.0,12.0,11.0
9274,微信销售,长春东易富盛德装饰有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""无需经验""",5.0,7.0,6.0
9275,订单员,长春东易富盛德装饰有限公司,"[2.0, 5.0, 3.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",2.0,5.0,3.5
9276,人事行政专员,长春东易富盛德装饰有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",4.0,5.0,4.5
9277,销售顾问,长春东易富盛德装饰有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""大专""",5.0,7.0,6.0
9278,电话销售,长春东易富盛德装饰有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""无需经验""",7.0,10.0,8.5
9279,业务员,长春东易富盛德装饰有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,上市公司,50-150人,"['家居', '室内设计', '装潢']","['五险一金', '定期体检', '员工旅游', '绩效奖金']","""无需经验""",7.0,10.0,8.5
9280,培训讲师,吉林省世一堂药铺连锁有限公司,"[10.0, 15.0, 12.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '五险一金', '员工旅游', '专业培训', '出国机会', '定期体检']","""本科""",10.0,15.0,12.5
9281,监听员,吉林省世一堂药铺连锁有限公司,"[2.0, 3.0, 2.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""无需经验""",2.0,3.0,2.5
9282,质量经理,吉林省世一堂药铺连锁有限公司,"[6.0, 7.0, 6.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']",[''],"""本科""",6.0,7.0,6.5
9283,新媒体文案,吉林省世一堂药铺连锁有限公司,"[2.0, 4.0, 3.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险']","""大专""",2.0,4.0,3.0
9284,企划-策划文案,吉林省世一堂药铺连锁有限公司,"[4.0, 7.0, 5.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险']","""大专""",4.0,7.0,5.5
9285,医院管理人员,吉林省世一堂药铺连锁有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '五险一金', '员工旅游', '专业培训', '出国机会', '定期体检']","""大专""",5.0,7.0,6.0
9286,摄像,吉林省世一堂药铺连锁有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""大专""",5.0,7.0,6.0
9287,视频后期合成,吉林省世一堂药铺连锁有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""大专""",5.0,7.0,6.0
9288,视频剪辑,吉林省世一堂药铺连锁有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""大专""",5.0,7.0,6.0
9289,人事经理,吉林省世一堂药铺连锁有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""本科""",5.0,7.0,6.0
9290,文案编辑,吉林省世一堂药铺连锁有限公司,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""本科""",10.0,12.0,11.0
9291,公关经理,吉林省世一堂药铺连锁有限公司,"[10.0, 15.0, 12.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""本科""",10.0,15.0,12.5
9292,电话销售,吉林省世一堂药铺连锁有限公司,"[6.0, 8.0, 7.0]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '员工旅游', '专业培训', '出国机会', '定期体检']","""中专""",6.0,8.0,7.0
9293,董事长助理,吉林省世一堂药铺连锁有限公司,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,150-500人,"['医疗', '护理', '卫生']","['绩效奖金', '五险', '五险一金', '员工旅游', '专业培训', '出国机会', '定期体检']","""大专""",7.0,10.0,8.5
9294,市场销售（无责任底薪4000+高提成+寒暑假带薪假期）,北京博思创成技术发展有限公司,"[8.0, 10.0, 9.0]",长春-宽城区,民营公司,50-150人,"['教育', '培训', '院校']","['五险一金', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '人才推荐奖', '立即上岗', '公司氛围好', '带薪年假']","""本科""",8.0,10.0,9.0
9295,业务员,北京博思创成技术发展有限公司,"[8.0, 10.0, 9.0]",长春-宽城区,民营公司,50-150人,"['教育', '培训', '院校']","['做五休二', '周末双休', '弹性工作', '带薪年假', '五险一金', '专业培训', '节日福利', '绩效奖金', '交通补贴', '通讯补贴']","""大专""",8.0,10.0,9.0
9296,销售代表,北京博思创成技术发展有限公司,"[6.0, 8.0, 7.0]",长春-宽城区,民营公司,50-150人,"['教育', '培训', '院校']","['五险一金', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '人才推荐奖', '立即上岗', '公司氛围好', '带薪年假']","""本科""",6.0,8.0,7.0
9297,销售工程师,凌云工业股份有限公司长春分公司,"[5.0, 8.0, 6.5]",长春-高新技术产业开发区,国企,150-500人,['汽车'],"['五险一金', '免费班车', '餐饮补贴', '定期体检', '年终奖金', '通讯补贴', '高温补贴', '采暖补贴', '绩效奖金', '专业培训']","""本科""",5.0,8.0,6.5
9298,操作工,凌云工业股份有限公司长春分公司,"[5.0, 10.0, 7.5]",长春-高新技术产业开发区,国企,150-500人,['汽车'],"['五险一金', '补充公积金', '免费班车', '专业培训', '餐饮补贴', '定期体检', '绩效奖金', '年终奖金']","""无需经验""",5.0,10.0,7.5
9299,焊接操作工,凌云工业股份有限公司长春分公司,"[7.0, 10.0, 8.5]",长春-高新技术产业开发区,国企,150-500人,['汽车'],[''],"""无需经验""",7.0,10.0,8.5
9300,操作工,长春市灯泡电线有限公司,"[4.0, 8.0, 6.0]",长春-朝阳区,民营公司,5000-10000人,['汽车'],[''],"""初中及以下""",4.0,8.0,6.0
9301,直聘线束操作工5000+,长春市灯泡电线有限公司,"[4.0, 8.0, 6.0]",长春-朝阳区,民营公司,5000-10000人,['汽车'],[''],"""初中及以下""",4.0,8.0,6.0
9302,无线通信工程师,长春市冰择科技有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,合资,,['计算机软件'],[''],"""大专""",4.0,5.0,4.5
9303,通信网络优化工程师,长春市冰择科技有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,合资,,['计算机软件'],[''],"""中专""",4.0,5.0,4.5
9304,4S店财务经理,长春金达洲集团有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,1000-5000人,['多元化业务集团公司'],"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",7.0,10.0,8.5
9305,洗浴中心运营总监,长春金达洲集团有限公司,"[24.0, 36.0, 30.0]",长春-宽城区,民营公司,1000-5000人,['多元化业务集团公司'],"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",24.0,36.0,30.0
9306,销售,绿园区峰顺酒水经销部,"[7.0, 10.0, 8.5]",长春-绿园区,民营公司,少于50人,"['批发', '零售']",[''],"""大专""",7.0,10.0,8.5
9307,大客户销售代表,绿园区峰顺酒水经销部,"[7.0, 10.0, 8.5]",长春-绿园区,民营公司,少于50人,"['批发', '零售']",[''],"""大专""",7.0,10.0,8.5
9308,酒水销售,绿园区峰顺酒水经销部,"[7.0, 10.0, 8.5]",长春-绿园区,民营公司,少于50人,"['批发', '零售']",[''],"""2年经验""",7.0,10.0,8.5
9309,销售代表,绿园区峰顺酒水经销部,"[7.0, 10.0, 8.5]",长春-绿园区,民营公司,少于50人,"['批发', '零售']",[''],"""2年经验""",7.0,10.0,8.5
