,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
3272,BIM工程师（长春）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
3273,土木工程师（长春）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
3274,医学代表实习生-呼吸吸入产品-（北区）-长春,阿斯利康(无锡)贸易有限公司,"[2.0, 4.0, 3.0]",长春,外资（欧美）,,['专业服务(咨询、人力资源、财会)'],[''],"""大专""",2.0,4.0,3.0
3275,采购,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",4.0,5.0,4.5
3276,供热部长,长春市恒建通达能源有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",7.0,10.0,8.5
3277,行政专员,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",4.0,5.0,4.5
3278,会计,长春市恒建通达能源有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '免费食宿']","""大专""",5.0,7.0,6.0
3279,经理,长春市恒建通达能源有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '免费食宿']","""大专""",5.0,7.0,6.0
3280,人事行政主管,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",4.0,5.0,4.5
3281,财务出纳,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",异地招聘,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",2.0,4.0,3.0
3282,人事专员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",异地招聘,民营公司,150-500人,['新能源'],['五险一金'],"""大专""",2.0,4.0,3.0
3283,外事经理,长春市恒建通达能源有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '补充公积金', '餐饮补贴']","""大专""",5.0,7.0,6.0
3284,化验员,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '定期体检', '免费住宿']","""大专""",4.0,5.0,4.5
3285,供热管理 文职 业务主管 客服主管,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['周末双休', '带薪年假', '五险一金', '包住宿', '包三餐', '绩效奖金']","""大专""",4.0,5.0,4.5
3286,档案资料管理员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '年终奖金', '周末双休', '包吃包住']","""1年经验""",2.0,4.0,3.0
3287,运行人员,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-德惠市,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '交通补贴', '免费食宿', '四班三倒']","""大专""",4.0,5.0,4.5
3288,电气运行,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-德惠市,民营公司,150-500人,['新能源'],"['五险一金', '交通补贴', '餐饮补贴', '年终奖金', '免费食宿']","""大专""",4.0,5.0,4.5
3289,锅炉副职,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-德惠市,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '年终奖金']","""大专""",4.0,5.0,4.5
3290,司机,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,民营公司,150-500人,['新能源'],"['周末双休', '带薪年假', '五险一金', '包吃', '包三餐', '包住宿', '餐饮补贴']","""2年经验""",4.0,5.0,4.5
3291,成本会计,长春市恒建通达能源有限公司,"[4.0, 6.0, 5.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '免费提供食宿', '免费三餐', '周末双休']","""3-4年经验""",4.0,6.0,5.0
3292,会计,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '周末双休', '免费提供食宿']",[''],4.0,5.0,4.5
3293,出纳员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '绩效奖金', '年终奖金', '食宿免费']","""1年经验""",2.0,4.0,3.0
3294,锅炉副值,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-德惠市,民营公司,150-500人,['新能源'],"['五险一金', '年终奖金', '定期体检', '提供食宿']",[''],4.0,5.0,4.5
3295,文员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['周末双休', '带薪年假', '五险一金', '包三餐', '包住宿', '节日福利']","""大专""",2.0,4.0,3.0
3296,会计,长春市恒建通达能源有限公司,"[5.0, 6.0, 5.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['周末双休', '带薪年假', '五险一金', '包三餐', '包住宿', '节日福利']","""3-4年经验""",5.0,6.0,5.5
3297,供热部文员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '年终奖金', '包吃包住', '周末双休']","""大专""",2.0,4.0,3.0
3298,锅炉巡检（学员）,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-德惠市,民营公司,150-500人,['新能源'],"['周末双休', '五险一金']","""大专""",2.0,4.0,3.0
3299,人事专员,长春市恒建通达能源有限公司,"[2.0, 4.0, 3.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '年终奖金', '定期体检', '免费食宿']","""大专""",2.0,4.0,3.0
3300,副司炉,长春市恒建通达能源有限公司,"[4.0, 5.0, 4.5]",长春-德惠市,民营公司,150-500人,['新能源'],[''],"""大专""",4.0,5.0,4.5
3301,技术支持,长春东方昊驰经贸有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,民营公司,少于50人,['汽车'],"['弹性工作', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""中专""",4.0,5.0,4.5
3302,区域销售经理,长春东方昊驰经贸有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,少于50人,['汽车'],[''],"""高中""",7.0,10.0,8.5
3303,实习生岗+客服坐席+双休,泰康人寿吉林电话营销中心,"[4.0, 5.0, 4.5]",长春-绿园区,上市公司,10000人以上,['保险'],[''],"""大专""",4.0,5.0,4.5
3304,应届生文员3K-4K+双休+可实习,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],[''],"""大专""",5.0,7.0,6.0
3305,骑手,长春市奔跑兔商贸有限公司,"[10.0, 12.0, 11.0]",长春-高新技术产业开发区,民营公司,50-150人,['餐饮业'],[''],"""初中及以下""",10.0,12.0,11.0
3306,骑士,长春市奔跑兔商贸有限公司,"[10.0, 12.0, 11.0]",长春-高新技术产业开发区,民营公司,50-150人,['餐饮业'],[''],"""初中及以下""",10.0,12.0,11.0
3307,呼叫中心客服，双休,泰康人寿保险有限责任公司吉林电话销售中心,"[5.0, 7.0, 6.0]",长春-绿园区,民营公司,10000人以上,"['金融', '投资', '证券']","['五险一金', '带薪年假', '周末双休', '高温补贴', '一年多次调薪', '节日福利', '国内外旅游', '年底奖金', '取暖补助', '企业保险']","""无需经验""",5.0,7.0,6.0
3308,贷款专员,吉林省众泰房地产经纪有限公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,150-500人,['房地产'],[''],"""本科""",5.0,7.0,6.0
3309,餐饮主管,吉林美伦丽晶大饭店有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,"['批发', '零售']",[''],"""中专""",4.0,5.0,4.5
3310,设备维修工,吉林美伦丽晶大饭店有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,"['批发', '零售']",[''],"""中专""",4.0,5.0,4.5
3311,客房服务员,吉林美伦丽晶大饭店有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,"['批发', '零售']",[''],"""无需经验""",4.0,5.0,4.5
3312,餐厅服务员,吉林美伦丽晶大饭店有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,150-500人,"['批发', '零售']",[''],"""无需经验""",4.0,5.0,4.5
3313,D急招人事专员,吉林省尼西人力资源服务有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,少于50人,['中介服务'],[''],"""大专""",5.0,7.0,6.0
3314,团购经理5000+,长春市华茂酒业有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,少于50人,['快速消费品(食品、饮料、化妆品)'],"['带薪年假', '绩效奖金', '全勤奖', '节日福利', '员工旅游']","""大专""",5.0,10.0,7.5
3315,团购经理 销售经理,长春市华茂酒业有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,少于50人,['快速消费品(食品、饮料、化妆品)'],"['带薪年假', '绩效奖金', '全勤奖', '节日福利']","""中专""",5.0,10.0,7.5
3316,销售助理,欧菲斯办公伙伴长春有限公司,"[2.0, 4.0, 3.0]",长春-二道区,民营公司,150-500人,['办公用品及设备'],[''],"""中专""",2.0,4.0,3.0
3317,销售代表,欧菲斯办公伙伴长春有限公司,"[4.0, 7.0, 5.5]",长春-二道区,民营公司,150-500人,['办公用品及设备'],[''],"""大专""",4.0,7.0,5.5
3318,试剂研发工程师,吉林省富生医疗器械有限公司,"[6.0, 12.0, 9.0]",长春-净月经济开发区,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""硕士""",6.0,12.0,9.0
