岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
国企电话售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
国企双休电话客服,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
国企双休电话服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""高中""",7.0,10.0,8.5
电话服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
央企售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
国企售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
央企双休售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
国企双休售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,10000人以上,['保险'],"['周末双休', '专业培训', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '旅游']","""大专""",7.0,10.0,8.5
售后服务专员,中国人寿保险股份有限公司哈尔滨分公司第一营销服务部,"[5.0, 7.0, 6.0]",哈尔滨-道里区,国企,10000人以上,['保险'],"['做五休二', '五险一金', '带薪年假', '全勤奖', '节日福利', '专业培训', '周末双休']","""高中""",5.0,7.0,6.0
政府事务专家-哈尔滨,美团,"[36.0, 48.0, 42.0]",哈尔滨-道里区,民营公司,10000人以上,['计算机软件'],[''],"""5-7年经验""",36.0,48.0,42.0
销售代表+不跑外+经验不限,合肥正佳智能科技有限公司,"[6.0, 11.0, 8.5]",哈尔滨-南岗区,民营公司,500-1000人,['专业服务(咨询、人力资源、财会)'],"['节日福利', '绩效奖金']","""大专""",6.0,11.0,8.5
外贸专员（双休）,黑龙江天浩瑞杰商贸有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '年终奖金', '交通补贴', '员工旅游', '定期体检']","""本科""",4.0,5.0,4.5
商务专员（双休）,黑龙江天浩瑞杰商贸有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '年终奖金', '交通补贴', '员工旅游', '定期体检']","""本科""",4.0,5.0,4.5
销售经理,黑龙江天浩瑞杰商贸有限公司,"[10.0, 12.0, 11.0]",哈尔滨,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '年终奖金', '交通补贴', '员工旅游', '定期体检']","""本科""",10.0,12.0,11.0
OTC销售实习生,振德医疗用品股份有限公司,"[4.0, 5.0, 4.5]",哈尔滨,上市公司,1000-5000人,"['医疗设备', '器械']","['交通补贴', '专业培训', '上市公司', '弹性工作', '留用机会']","""本科""",4.0,5.0,4.5
区域销售主管（医疗上市公司）,振德医疗用品股份有限公司,"[18.0, 24.0, 21.0]",哈尔滨,上市公司,1000-5000人,"['医疗设备', '器械']","['五险一金', '交通补贴', '专业培训', '弹性工作', '定期体检', '绩效奖金']","""本科""",18.0,24.0,21.0
AE\客户主管,哈尔滨共和广告营销策划有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,少于50人,['广告'],"['五险一金', '专业培训', '绩效奖金', '员工旅游']","""大专""",5.0,7.0,6.0
美团优选-销售渠道经理,美团,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,10000人以上,['计算机软件'],[''],"""3-4年经验""",12.0,18.0,15.0
优选项目城市仓资产保护经理,美团,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,10000人以上,['计算机软件'],[''],"""5-7年经验""",12.0,18.0,15.0
优选项目城市资产保护主管,美团,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,10000人以上,['计算机软件'],[''],"""5-7年经验""",12.0,18.0,15.0
美团优选-渠道分区经理,美团,"[10.0, 12.0, 11.0]",哈尔滨-道里区,民营公司,10000人以上,['计算机软件'],[''],"""3-4年经验""",10.0,12.0,11.0
区域经理,哈尔滨惠达陶瓷制品有限公司,"[7.0, 10.0, 8.5]",哈尔滨-道外区,民营公司,50-150人,"['批发', '零售']","['交通补贴', '绩效奖金', '年终奖金']","""大专""",7.0,10.0,8.5
医药信息顾问（哈尔滨市）中枢神经线,江苏豪森药业集团有限公司—营销事业部,"[10.0, 12.0, 11.0]",哈尔滨,民营公司,10000人以上,"['制药', '生物工程']","['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""本科""",10.0,12.0,11.0
高薪诚聘日语客服,广州途辉企业管理有限公司,"[8.0, 11.0, 9.5]",哈尔滨-南岗区,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['节日福利', '业绩提成']","""无需经验""",8.0,11.0,9.5
高薪诚聘房地产销售经理,广州途辉企业管理有限公司,"[4.0, 8.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['带薪年假', '带薪培训', '节日福利', '团建旅游', '工龄奖']","""无需经验""",4.0,8.0,6.0
高薪诚聘见习置业顾问,广州途辉企业管理有限公司,"[5.0, 10.0, 7.5]",哈尔滨-南岗区,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['通讯补贴', '提成', '开单奖励']","""无需经验""",5.0,10.0,7.5
高薪诚聘服务员,广州途辉企业管理有限公司,"[12.0, 24.0, 18.0]",哈尔滨-南岗区,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],['业绩提成'],"""无需经验""",12.0,24.0,18.0
高薪诚聘销售顾问,广州途辉企业管理有限公司,"[10.0, 19.0, 14.5]",哈尔滨-道里区,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['业绩提成', '五险一金', '津贴奖金']","""中专""",10.0,19.0,14.5
销售代表,麦达可尔（湖北）工业有限公司,"[4.0, 12.0, 8.0]",哈尔滨,民营公司,50-150人,"['石油', '化工', '矿产', '地质']",[''],"""大专""",4.0,12.0,8.0
销售代表,哈尔滨市安登医疗器械有限公司,"[10.0, 12.0, 11.0]",哈尔滨-道外区,民营公司,少于50人,"['医疗设备', '器械']",[''],"""大专""",10.0,12.0,11.0
污水车间主管,上海原本生物科技有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,50-150人,"['制药', '生物工程']","['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '中科院背景', '员工旅游', '股票期权', '绩效奖金']","""中专""",7.0,10.0,8.5
污水调试技术员,上海原本生物科技有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,50-150人,"['制药', '生物工程']","['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '中科院背景', '员工旅游', '股票期权', '绩效奖金']","""大专""",7.0,10.0,8.5
农业物联网技术\10-15W,湖北谷瑞特生物技术有限公司,"[10.0, 14.0, 12.0]",哈尔滨,上市公司,150-500人,"['农', '林', '牧', '渔']","['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '年终奖金', '弹性工作', '专业培训', '通讯补贴', '餐饮补贴', '出国机会']","""本科""",10.0,14.0,12.0
工厂质检员,黑龙江美润种业有限公司,"[5.0, 7.0, 6.0]",哈尔滨-五常市,民营公司,150-500人,"['农', '林', '牧', '渔']","['五险', '包吃', '包住宿', '绩效奖金', '节日福利', '交通补贴']","""中专""",5.0,7.0,6.0
城市经理,黑龙江美润种业有限公司,"[5.0, 10.0, 7.5]",哈尔滨-道里区,民营公司,150-500人,"['农', '林', '牧', '渔']","['五险', '绩效奖金', '节日福利', '交通补贴', '专业培训']","""中专""",5.0,10.0,7.5
种植管理员,黑龙江美润种业有限公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,民营公司,150-500人,"['农', '林', '牧', '渔']","['五险', '补充医疗保险', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '定期体检']","""大专""",7.0,10.0,8.5
奢侈品销售,宁波杉杉奥莱跨境贸易有限公司,"[7.0, 12.0, 9.5]",哈尔滨-呼兰区,民营公司,150-500人,"['贸易', '进出口']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""大专""",7.0,12.0,9.5
品牌女装招聘商品专员 (MJ001353),安正时尚集团股份有限公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""本科""",6.0,10.0,8.0
尖刀连督导招聘 (MJ001352),安正时尚集团股份有限公司,"[12.0, 22.0, 17.0]",异地招聘,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""大专""",12.0,22.0,17.0
储备英语教师,哈尔滨市南岗区应诺文化学校有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金']","""本科""",4.0,5.0,4.5
储备数学教师,哈尔滨市南岗区应诺文化学校有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金']","""本科""",4.0,5.0,4.5
运营督导（加盟部） (MJ001405),安正时尚集团股份有限公司,"[14.0, 24.0, 19.0]",异地招聘,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""大专""",14.0,24.0,19.0
玖姿女装招店长（会展红博）,安正时尚集团股份有限公司,"[7.0, 12.0, 9.5]",哈尔滨,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""中专""",7.0,12.0,9.5
玖姿女装招导购（西城红场）,安正时尚集团股份有限公司,"[5.0, 7.0, 6.0]",哈尔滨,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['五险一金', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""高中""",5.0,7.0,6.0
安正男装诚招导购（哈尔滨卓展）,安正时尚集团股份有限公司,"[6.0, 10.0, 8.0]",哈尔滨,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['五险一金', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""高中""",6.0,10.0,8.0
尹默女装招导购（南岗松雷） (MJ001341),安正时尚集团股份有限公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""高中""",6.0,10.0,8.0
区域货控\货品,安正时尚集团股份有限公司,"[8.0, 18.0, 13.0]",异地招聘,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['五险一金', '交通补贴', '餐饮补贴', '绩效奖金', '周末双休', '每年2次调薪', '每年2次晋升', '带薪年假', '低折内购']","""本科""",8.0,18.0,13.0
玖姿女装急招店长（松雷）,安正时尚集团股份有限公司,"[8.0, 14.0, 11.0]",哈尔滨-南岗区,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['五险一金', '专业培训', '节日福利', '加班补贴', '餐饮补贴']","""高中""",8.0,14.0,11.0
玖姿急招导购（哈尔滨松雷）,安正时尚集团股份有限公司,"[6.0, 10.0, 8.0]",哈尔滨,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""大专""",6.0,10.0,8.0
玖姿女装诚招导购（哈尔滨会展红博）,安正时尚集团股份有限公司,"[6.0, 12.0, 9.0]",哈尔滨,上市公司,1000-5000人,"['服装', '纺织', '皮革']","['五险一金', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""高中""",6.0,12.0,9.0
污水处理工程师,上海原本生物科技有限公司,"[5.0, 20.0, 12.5]",异地招聘,民营公司,50-150人,"['制药', '生物工程']","['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '中科院背景', '员工旅游', '股票期权', '绩效奖金']","""大专""",5.0,20.0,12.5
新媒体文案,哈尔滨市伙伴广告有限公司,"[10.0, 15.0, 12.5]",哈尔滨-南岗区,民营公司,少于50人,['广告'],"['员工旅游', '绩效奖金', '年终奖金', '免费水果', '周休息一天半', '五险', '不打卡']","""本科""",10.0,15.0,12.5
客服AE,哈尔滨市伙伴广告有限公司,"[6.0, 8.0, 7.0]",哈尔滨-南岗区,民营公司,少于50人,['广告'],[''],"""大专""",6.0,8.0,7.0
平面设计师,哈尔滨市伙伴广告有限公司,"[8.0, 12.0, 10.0]",哈尔滨-南岗区,民营公司,少于50人,['广告'],"['员工旅游', '绩效奖金', '年终奖金', '免费水果', '周休息一天半', '五险', '不打卡']","""大专""",8.0,12.0,10.0
护理\口腔教研室主任\学科带头人,哈尔滨市滨才交通服务中等职业技术学校,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",5.0,7.0,6.0
就业主任,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,5.0,4.5
保安,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""3-4年经验""",2.0,4.0,3.0
保洁员,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""2年经验""",2.0,4.0,3.0
学工干事,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""大专""",2.0,4.0,3.0
电子商务教师,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 7.0, 5.5]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""中专""",4.0,7.0,5.5
教官\学管干事,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,5.0,4.5
班主任,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 7.0, 5.5]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,7.0,5.5
招生干事,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 6.0, 4.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""大专""",2.0,6.0,4.0
宿舍管理员,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""高中""",2.0,4.0,3.0
多媒体专业教师,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 7.0, 5.5]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,7.0,5.5
就业干事,哈尔滨市滨才交通服务中等职业技术学校,"[2.0, 4.0, 3.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",2.0,4.0,3.0
基础护理学教师,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 8.0, 6.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,8.0,6.0
计算机教师（软件）,哈尔滨市滨才交通服务中等职业技术学校,"[4.0, 8.0, 6.0]",哈尔滨-松北区,民营公司,1000-5000人,"['教育', '培训', '院校']",[''],"""本科""",4.0,8.0,6.0
社区运营（群主）,国美零售控股有限公司,"[4.0, 8.0, 6.0]",哈尔滨-南岗区,民营公司,10000人以上,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假']","""大专""",4.0,8.0,6.0
肉禽采购（鲜肉）,美菜网,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '绩效奖金', '节日福利', '五险一金']","""大专""",7.0,10.0,8.5
销售实习生（毕业即可转正+六险一金）,美菜网,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '绩效奖金', '节日福利', '交通补贴', '通讯补贴']","""大专""",5.0,7.0,6.0
销售实习生,美菜网,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '五险一金', '绩效奖金', '节日福利']","""大专""",5.0,7.0,6.0
营运专员,美菜网,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '五险一金', '绩效奖金', '节日福利']","""大专""",4.0,5.0,4.5
销售顾问,美菜网,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '五险一金', '绩效奖金', '节日福利']","""大专""",7.0,10.0,8.5
销售顾问-道里区,美菜网,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '五险一金', '绩效奖金', '节日福利']","""大专""",7.0,10.0,8.5
销售顾问-道外区,美菜网,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['弹性工作', '五险一金', '绩效奖金', '节日福利']","""大专""",7.0,10.0,8.5
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-平房区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-道外区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-南岗区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-五常市,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-尚志市,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-双城区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-延寿县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-通河县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-木兰县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-巴彦县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-宾县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-方正县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-依兰县,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-阿城区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-呼兰区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
情趣外卖项目城市经理,昆明魂思商贸有限公司北京分公司,"[12.0, 18.0, 15.0]",哈尔滨-香坊区,民营公司,150-500人,"['互联网', '电子商务']","['弹性工作', '专业培训', '公司重点项目']","""中专""",12.0,18.0,15.0
传媒运营,哈尔滨佐耀文化传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",5.0,7.0,6.0
高薪前台有提成供住,哈尔滨佐耀文化传媒有限公司,"[4.0, 8.0, 6.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",4.0,8.0,6.0
直播模特无责7q,哈尔滨佐耀文化传媒有限公司,"[8.0, 36.0, 22.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",8.0,36.0,22.0
经纪人,哈尔滨佐耀文化传媒有限公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",7.0,10.0,8.5
高薪运营,哈尔滨佐耀文化传媒有限公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",7.0,10.0,8.5
急聘高薪前台供住加提成,哈尔滨佐耀文化传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",5.0,7.0,6.0
直播 主播,哈尔滨佐耀文化传媒有限公司,"[8.0, 36.0, 22.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",8.0,36.0,22.0
招聘签约主播送苹果手机,哈尔滨佐耀文化传媒有限公司,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']",[''],"""无需经验""",12.0,18.0,15.0
区域销售经理\城市经理（黑龙江）,黑牛食品营销有限公司,"[10.0, 15.0, 12.5]",异地招聘,民营公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '节日福利', '专业培训', '带薪年假', '绩效奖金']","""中技""",10.0,15.0,12.5
3000到8000招聘销售精英,哈尔滨市南岗区汇智财会学校,"[4.0, 10.0, 7.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '年终奖金', '交通补贴', '员工旅游']","""无需经验""",4.0,10.0,7.0
财务经理,哈尔滨市南岗区汇智财会学校,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '年终奖金', '交通补贴', '员工旅游']","""本科""",7.0,10.0,8.5
建安业会计,哈尔滨市南岗区汇智财会学校,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '年终奖金', '交通补贴', '员工旅游']","""大专""",5.0,7.0,6.0
房地产业会计,哈尔滨市南岗区汇智财会学校,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '年终奖金', '交通补贴', '员工旅游']","""大专""",5.0,7.0,6.0
自媒体运营,哈尔滨市南岗区汇智财会学校,"[4.0, 6.0, 5.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']","['员工旅游', '绩效奖金', '年终奖金']","""大专""",4.0,6.0,5.0
销售顾问,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""在校生\应届生""",2.0,4.0,3.0
初级会计职称教师,哈尔滨市南岗区汇智财会学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
出纳,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",2.0,4.0,3.0
会计,哈尔滨市南岗区汇智财会学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
财务总监,哈尔滨市南岗区汇智财会学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
