岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
安全专员,哈尔滨市博能环保科技有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']",[''],4.0,5.0,4.5
水暖工程师（朝九晚五，双休）,哈尔滨市博能环保科技有限公司,"[6.0, 8.0, 7.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",6.0,8.0,7.0
强电工程师（朝九晚五，双休）,哈尔滨市博能环保科技有限公司,"[6.0, 8.0, 7.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",6.0,8.0,7.0
会计（朝九晚五，双休）,哈尔滨市博能环保科技有限公司,"[5.0, 6.0, 5.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",5.0,6.0,5.5
项目经理,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金']",[''],7.0,10.0,8.5
内业（施工员）,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",5.0,7.0,6.0
市场经理（双休，早九晚五）,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']","""本科""",7.0,10.0,8.5
董事长秘书（早九晚五）,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '五险']",[''],5.0,7.0,6.0
董事长助理（双休，早九晚五）,哈尔滨市博能环保科技有限公司,"[6.0, 10.0, 8.0]",哈尔滨,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金']",[''],6.0,10.0,8.0
招商专员,黑龙江金安欧罗巴广场发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']",[''],"""大专""",4.0,5.0,4.5
设备主管,黑龙江金安欧罗巴广场发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']",[''],"""3-4年经验""",4.0,5.0,4.5
前台礼仪,黑龙江金安欧罗巴广场发展有限公司,"[3.0, 4.0, 3.5]",哈尔滨,民营公司,500-1000人,"['物业管理', '商业中心']","['五险', '免费工作餐', '节日福利', '专业培训']","""高中""",3.0,4.0,3.5
楼层主管,黑龙江金安欧罗巴广场发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,500-1000人,"['物业管理', '商业中心']","['弹性工作', '定期体检', '五险', '专业培训', '免费工作餐']","""大专""",4.0,5.0,4.5
客服主管,黑龙江金安欧罗巴广场发展有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,500-1000人,"['物业管理', '商业中心']",[''],[''],5.0,7.0,6.0
财务主管,黑龙江金安欧罗巴广场发展有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']",[''],"""本科""",5.0,7.0,6.0
百货收银员,黑龙江金安欧罗巴广场发展有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']","['五险', '免费工作餐', '节日福利', '专业培训']","""高中""",2.0,4.0,3.0
vip专员,黑龙江金安欧罗巴广场发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,500-1000人,"['物业管理', '商业中心']","['节日福利', '专业培训', '五险', '定期体检', '免费工作餐', '带薪年假']","""大专""",4.0,5.0,4.5
平安银行汽车金融市场管理岗,深圳市橙信投资发展有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,合资,10000人以上,['银行'],[''],"""本科""",5.0,7.0,6.0
餐饮部员工 (顾客餐厅）ID52376,宜家哈尔滨商场,"[4.0, 6.0, 5.0]",哈尔滨-南岗区,外资（欧美）,少于50人,"['批发', '零售']","['五险一金', '带薪年假', '节日福利', '餐饮补贴', '绩效奖金']","""大专""",4.0,6.0,5.0
