XX地区城市经理、办事处主任、负责人,云南业问教育科技有限公司,20-30,异地招聘,民营公司,50-150人,教育\培训\院校,"['员工旅游', '出国机会', '弹性工作', '专业培训', '绩效奖金']","""大专"""
南浔古镇代言人（百万年薪）,湖州南浔旅游投资发展集团有限公司,96-108,异地招聘,国企,150-500人,酒店\旅游,[''],"""无需经验"""
五险一金聘电话销售,国中教育科技（吉林）集团有限公司,10-12,长春-南关区,民营公司,50-150人,教育\培训\院校,"['绩效奖金', '五险一金', '出国机会', '年终奖金', '周末双休']","""无需经验"""
电气工程师,广州信邦智能装备股份有限公司,7-10,长春,民营公司,150-500人,机械\设备\重工,"['五险一金', '专业培训', '员工旅游', '出国机会']","""大专"""
轮胎销售业务,江苏通用科技股份有限公司,10-14,异地招聘,上市公司,1000-5000人,汽车,"['五险一金', '包住宿', '免费班车', '专业培训', '餐饮补贴', '高温补贴', '出差补贴', '通讯补贴']","""大专"""
初中语文教师,蚌埠禹王学校,10-12,异地招聘,民营公司,500-1000人,教育\培训\院校,"['免费食宿', '寒暑假', '教龄津贴', '节假日福利', '五险一金', '员工旅游']","""本科"""
国内销售业务,宁波怡人玩具有限公司,7-10,长春,外资（欧美）,1000-5000人,家具\家电\玩具\礼品,"['弹性工作', '五险一金', '带薪年假', '高温补贴', '绩效奖金', '交通补贴']","""大专"""
建筑设计师,长春建业集团股份有限公司,5-7,长春,民营公司,150-500人,建筑\建材\工程,"['五险一金', '员工旅游', '绩效奖金', '年终奖金']","""本科"""
司机,吉林省嘉晟供应链管理有限公司,4-5,长春,合资,少于50人,交通\运输\物流,[''],"""高中"""
销售顾问,长春市天泽同创企业管理咨询有限公司,12-18,长春-绿园区,合资,,专业服务(咨询、人力资源、财会),[''],"""无需经验"""
销售专员,长春市百利丰晟经贸有限公司,5-7,长春-二道区,民营公司,50-150人,贸易\进出口,"['弹性工作', '专业培训', '带薪旅游']","""中技"""
酒店服务员,长春国际贸易中心有限公司国贸大饭店,5-5,长春-朝阳区,民营公司,少于50人,餐饮业,"['带薪年假', '包吃', '五险一金', '包住宿', '节日福利']","""高中"""
学术推广,广州万孚生物技术股份有限公司,7-10,异地招聘,上市公司,1000-5000人,制药\生物工程,"['五险一金', '定期体检', '弹性工作', '餐饮补贴', '专业培训', '绩效奖金']","""本科"""
网络销售经理,湖北疯赶打闹网络科技有限公司,10-12,异地招聘,民营公司,50-150人,网络游戏,[''],"""中专"""
储备技术员,天恩璐（辽宁）技术有限公司,4-5,异地招聘,民营公司,50-150人,仪器仪表\工业自动化,[''],"""大专"""
支付宝、微信销售+五险+分红,吉林省智付通科技有限公司,5-7,长春-二道区,民营公司,少于50人,计算机软件,"['带薪年假', '绩效奖金', '全勤奖', '专业培训']","""无需经验"""
Program Manager,英纳法企业管理（上海）有限公司,24-30,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
宝洁公司 销售代表,沈阳天地和商贸有限公司,7-10,长春,民营公司,少于50人,批发\零售,"['周末双休', '五险一金', '绩效奖金', '交通补贴', '餐饮补贴']","""大专"""
营业部负责人,太平养老保险股份有限公司,8-24,长春-净月经济开发区,国企,1000-5000人,保险,"['正式劳动合同', '六险两金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '节日福利', '综合补贴', '其他福利', '有底薪']","""本科"""
KA业代,三全食品股份有限公司,4-6,长春-朝阳区,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),"['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '交通补贴', '通讯补贴']","""大专"""
经营企划主管,北电爱思特（江苏）科技有限公司,10-14,异地招聘,合资,1000-5000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检', '年终奖金']","""本科"""
美团优选-资产保护主管\经理,美团,10-12,长春,民营公司,10000人以上,互联网\电子商务,[''],"""3-4年经验"""
审核员,吉林省产品质量监督检验院（吉林省农产品认证中心）,10-15,长春-高新技术产业开发区,事业单位,150-500人,检测，认证,"['五险一金', '年终奖金', '带薪年假', '免费班车']","""本科"""
室内设计师,吉林省窦蔻家居装饰工程有限公司,4-7,长春,民营公司,50-150人,家居\室内设计\装潢,"['交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""大专"""
数字芯片工程师,浙江集速合芯科技有限公司,7-10,异地招聘,民营公司,,电子技术\半导体\集成电路,[''],"""本科"""
器具管理员,华众控股有限公司,4-5,长春,上市公司,1000-5000人,汽车,"['周末双休', '五险一金', '包住宿', '餐饮补贴']","""大专"""
资深中译英笔译（Part Time）,昆明优笔客翻译有限公司,12-18,异地招聘,合资,50-150人,专业服务(咨询、人力资源、财会),['弹性工作'],"""本科"""
QC主管,吉林省杭盖秱博生物科技有限公司,5-6,长春-宽城区,民营公司,50-150人,制药\生物工程,['五险一金'],"""本科"""
招商经理\渠道,南京我乐家居股份有限公司,12-30,异地招聘,上市公司,1000-5000人,家居\室内设计\装潢,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']","""本科"""
医药代表\高级医药代表,吉瑞医药（中国）有限公司,12-18,长春,外资（欧美）,150-500人,制药\生物工程,"['五险一金', '绩效奖金', '补充医疗保险', '交通补贴', '通讯补贴', '专业培训']","""大专"""
玉米淀粉业务员,益海嘉里（富裕）生物科技有限公司,5-7,异地招聘,外资（非欧美）,500-1000人,制药\生物工程,"['五险一金', '免费班车', '员工旅游', '定期体检', '年终奖金', '专业培训']","""大专"""
临床协调员CRC,优效（北京）医学技术有限公司,5-7,长春,民营公司,50-150人,医疗\护理\卫生,"['补充医疗保险', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专"""
公考笔试小班老师（长春）,北京粉笔蓝天科技有限公司,7-12,长春-南关区,民营公司,5000-10000人,教育\培训\院校,['五险一金'],"""本科"""
渠道销售（双休法定节假日）,哈尔滨索控科技有限公司,4-5,异地招聘,民营公司,少于50人,计算机服务(系统、数据服务、维修),"['交通补贴', '通讯补贴', '绩效奖金', '弹性工作', '专业培训', '双休', '国家标准假日']","""大专"""
辊压\冲压工程师（急聘）,林德英利（长春）汽车部件有限公司,5-10,长春,合资,150-500人,汽车,"['免费班车', '定期体检', '周末双休', '专业培训', '员工旅游', '五险一金', '补充医疗保险', '通讯补贴', '年终奖金']","""本科"""
成品兼过程检验员,长春莫尔电子有限公司,4-5,长春-高新技术产业开发区,民营公司,50-150人,电子技术\半导体\集成电路,"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '员工旅游', '全勤奖', '年底双薪']","""高中"""
并购投资基金总监级业务顾问（业务合伙人,利为投资管理(北京)有限公司,120-600,长春-朝阳区,民营公司,50-150人,金融\投资\证券,"['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '股票期权', '弹性工作']","""大专"""
壹米5-8千招工人包吃住,吉林壹米滴答供应链管理有限公司,6-10,长春-宽城区,民营公司,10000人以上,交通\运输\物流,"['包吃', '包三餐', '包住宿', '节日福利', '全勤奖', '高温补贴']","""初中及以下"""
软件实施工程师（长春）,北京久其软件股份有限公司,5-7,长春,上市公司,1000-5000人,计算机软件,"['五险一金', '员工旅游', '餐饮补贴', '年终奖金', '定期体检', '通讯补贴', '绩效奖金']","""本科"""
销售工程师（吉林）,深圳市锦瑞生物科技有限公司,5-7,长春,民营公司,500-1000人,医疗设备\器械,"['五险一金', '餐饮补贴', '绩效奖金', '员工旅游']","""在校生\应届生"""
医药信息顾问,凯信远达医药（中国）有限公司,12-18,异地招聘,外资（欧美）,50-150人,制药\生物工程,[''],"""本科"""
城市主管\片区经理,浙江丹鸟物流科技有限公司,12-18,异地招聘,民营公司,10000人以上,交通\运输\物流,[''],"""大专"""
服务台工程师,北京神州新桥科技有限公司,4-5,长春-南关区,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),"['定期体检', '餐饮补贴', '五险一金', '补充医疗保险', '通讯补贴', '年终奖金']","""大专"""
需求分析--8-12K,吉林省吉科软信息技术有限公司,10-12,长春-高新技术产业开发区,民营公司,50-150人,计算机软件,[''],"""本科"""
项目实施工程师（东北区域）,帆软软件,11-17,异地招聘,民营公司,1000-5000人,计算机软件,[''],"""本科"""
监察主管,达因药业,7-11,长春,民营公司,1000-5000人,制药\生物工程,"['五险一金', '餐饮补贴', '定期体检', '通讯补贴', '交通补贴', '年终奖金', '绩效奖金']","""大专"""
酒店摄影师,广州去拍软件科技有限公司,12-30,异地招聘,民营公司,5000-10000人,互联网\电子商务,"['专业培训', '弹性工作', '出国机会']","""大专"""
国土空间规划师,浙江大学土地与国家发展研究院,10-30,异地招聘,民营公司,50-150人,学术\科研,[''],"""本科"""
招商渠道经理,上海精宸科技股份有限公司,6-24,长春,民营公司,50-150人,计算机软件,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '专业培训']","""本科"""
才艺主播，游戏主播,深圳市若邻传媒有限公司,12-18,异地招聘,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
环评编制人员,吉林省文瀚检测有限公司,4-18,长春-南关区,民营公司,少于50人,检测，认证,"['五险一金', '员工旅游', '专业培训', '年终奖金', '定期体检']","""本科"""
销售经理,大连腾泰商贸有限公司,5-7,异地招聘,民营公司,少于50人,批发\零售,"['弹性工作', '带薪年假', '全勤奖', '节日福利', '绩效奖金', '交通补贴', '五险一金']","""大专"""
药物质量研究员,长春钻智制药有限公司,5-7,长春-九台区,民营公司,50-150人,制药\生物工程,[''],"""硕士"""
销售代表,吉林省绿寰环保科技有限责任公司,6-12,长春,民营公司,少于50人,环保,"['交通补贴', '通讯补贴', '五险', '弹性工作']","""无需经验"""
美容顾问,长春市云上女神美容服务连锁有限公司,6-10,长春-宽城区,民营公司,少于50人,美容\保健,"['年终分红', '年终双薪', '周末单休']","""1年经验"""
Sales Supervisor - 77653 ID65887,雀巢(中国)有限公司,7-10,长春,外资（欧美）,10000人以上,快速消费品(食品、饮料、化妆品),"['五险一金', '公司规模大', '带薪年假', '定期体检', '节日礼物']","""本科"""
区域销售经理,金昰金晟（辽宁）实业有限公司,12-18,异地招聘,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""高中"""
销售业务员,长春星合盛商贸有限公司,4-5,长春-经济技术开发区,民营公司,少于50人,快速消费品(食品、饮料、化妆品),"['餐饮补贴', '交通补贴', '通讯补贴', '五险']","""初中及以下"""
自动化装配,长春思诺尔自动化科技有限公司,4-7,长春-净月经济开发区,民营公司,少于50人,仪器仪表\工业自动化,[''],"""中专"""
轻松普工18\时-班车-住宿,长春市宽城区喜乐汽车清洗行,5-7,长春-绿园区,民营公司,,汽车零配件,[''],"""无需经验"""
运营总监,绿园区穆春艳日用品商店,10-12,长春-南关区,民营公司,50-150人,影视\媒体\艺术\文化传播,[''],"""本科"""
销售经理,吉林市宏深科技有限公司,5-7,长春-南关区,民营公司,少于50人,机械\设备\重工,"['五险一金', '员工旅游', '年终奖金', '专业培训', '周末双休']","""大专"""
推广专员应届毕业生,吉林省至道科技有限公司,7-10,长春-宽城区,民营公司,500-1000人,通信\电信运营、增值服务,[''],"""无需经验"""
设备工程师,吉林华微电子股份有限公司,5-7,异地招聘,民营公司,1000-5000人,电子技术\半导体\集成电路,"['周末双休', '带薪年假', '五险一金', '专业培训', '高温补贴', '节日福利']","""大专"""
政保业务经理,阳光财产保险股份有限公司吉林省分公司,7-10,长春,民营公司,500-1000人,保险,"['周末双休', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金']","""大专"""
长护险理赔专岗人员,中国大地财产保险股份有限公司吉林分公司,4-5,长春-南关区,国企,10000人以上,保险,"['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训']","""大专"""
产品学术专员,吉林省大麦健康科技有限公司,4-8,长春-二道区,民营公司,少于50人,制药\生物工程,"['专业培训', '年终奖金', '绩效奖金', '交通补贴', '通讯补贴', '五险']","""本科"""
急聘安全员包吃住+五险,黑龙江铁翼航空票务有限公司,4-7,异地招聘,民营公司,500-1000人,交通\运输\物流,"['包住宿', '包吃', '五险一金']","""高中"""
主播,吉林那可老好了文化传媒有限公司,4-12,长春-宽城区,创业公司,少于50人,文字媒体\出版,[''],"""无需经验"""
销售工程师,沈阳菲莫斯生物科技有限公司,5-7,长春-朝阳区,民营公司,少于50人,制药\生物工程,"['绩效奖金', '通讯补贴', '交通补贴']","""本科"""
销售经理（仅招聘应届生）,长沙麓邦光电科技有限公司,5-12,异地招聘,民营公司,50-150人,学术\科研,['团体活动'],"""本科"""
影像科\核医学医师,长春肿瘤医院有限公司,12-18,长春-高新技术产业开发区,民营公司,150-500人,医疗设备\器械,"['带薪年假', '全勤奖', '包吃']","""本科"""
医药公司电话招商,吉林省毅源堂药业有限公司,5-7,长春-宽城区,民营公司,50-150人,批发\零售,[''],"""3-4年经验"""
招商经理,长春市安洋电子商务有限公司,5-7,长春-南关区,合资,少于50人,互联网\电子商务,[''],"""大专"""
全职教师,书群教育,7-10,长春-绿园区,民营公司,50-150人,教育\培训\院校,"['五险一金', '员工旅游', '专业培训', '绩效奖金']","""本科"""
氢能研究助理,长春新源创科信息技术有限公司,6-10,长春,民营公司,少于50人,文字媒体\出版,[''],"""本科"""
前台,舒兰市金博文外语培训学校有限公司,2-5,长春-高新技术产业开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
电气工程师,长春百特威智能设备制造有限公司,6-14,长春-汽车产业开发区,合资,,电子技术\半导体\集成电路,[''],"""大专"""
出纳,苏州汇思人力资源有限公司,4-5,长春-二道区,民营公司,10000人以上,外包服务,"['五险一金', '绩效奖金', '专业培训', '定期体检', '节日福利', '包吃', '年终奖金']","""大专"""
会计,采埃孚富奥底盘技术（长春）有限公司,5-8,长春-经济技术开发区,合资,150-500人,汽车零配件,[''],"""本科"""
渠道销售经理,长春市金鹊桥婚恋服务有限公司,6-24,长春-朝阳区,民营公司,少于50人,生活服务,['周末单休'],"""大专"""
门店巡检,蓝月亮（中国）有限公司,6-10,长春-朝阳区,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),[''],"""大专"""
育婴师,长春市中邦家政服务有限公司,5-7,长春,民营公司,50-150人,生活服务,[''],"""1年经验"""
投资发展岗(J14924),招商蛇口大连公司,12-14,长春,上市公司,10000人以上,房地产,[''],"""本科"""
招生顾问,吉林省晟学名优教育科技有限公司,7-10,长春-南关区,创业公司,50-150人,教育\培训\院校,"['全勤奖', '绩效奖金', '节日福利', '专业培训', '加班补贴', '弹性工作', '年假10以上', '出国游', '活动奖金丰厚']","""大专"""
一汽（轻松缝纫）6k险金吃住,吉林省经纬通信有限公司,5-7,长春-经济技术开发区,民营公司,50-150人,通信\电信\网络设备,[''],"""无需经验"""
通信工程师,中国船舶重工集团公司第七二三研究所,15-20,异地招聘,国企,1000-5000人,学术\科研,"['补充医疗保险', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检', '补充公积金', '七险三金']","""硕士"""
招保健医一名,长春市南关区小海龟幼儿园有限公司,4-5,长春-南关区,民营公司,,教育\培训\院校,[''],"""无需经验"""
司机,长春欧亚集团商业连锁经营有限公司,4-5,长春,国企,1000-5000人,多元化业务集团公司,"['五险一金', '绩效奖金', '带薪年假', '节日福利']","""中专"""
会计实习生,吉林省博文财务咨询有限公司,1-2,长春-绿园区,民营公司,50-150人,专业服务(咨询、人力资源、财会),[''],['']
操作工,阜阳城房京开置业有限公司,10-12,异地招聘,民营公司,500-1000人,建筑\建材\工程,"['带薪年假', '包吃', '五险一金', '包住宿', '做五休二', '绩效奖金', '节日福利']","""无需经验"""
机器人行业应届生,丁锦（上海）智能科技有限公司,2-4,异地招聘,民营公司,少于50人,电子技术\半导体\集成电路,[''],"""中专"""
研发工程师,长春天新合成材料有限公司,5-7,长春,民营公司,50-150人,石油\化工\矿产\地质,"['五险一金', '交通补贴', '餐饮补贴', '绩效奖金']","""本科"""
医疗器械销售经理或事业合伙人,深圳市鸿嘉医疗科技有限公司,24-30,长春-朝阳区,民营公司,50-150人,医疗设备\器械,[''],"""高中"""
新媒体文案,吉林省小驴竣竣法律服务有限公司,4-5,长春-南关区,民营公司,50-150人,法律,"['绩效奖金', '专业培训', '员工旅游']","""高中"""
大量聘：西班牙语翻译、西班牙语笔译、口译,济南金榜翻译有限责任公司,12-22,长春,民营公司,50-150人,教育\培训\院校,"['弹性工作', '绩效奖金', '项目提成', '自由职业']","""大专"""
医疗器械销售经理,黑龙江诚为医疗器械有限公司,12-18,异地招聘,民营公司,50-150人,医疗设备\器械,"['五险一金', '员工旅游', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '专业培训']","""大专"""
全检员,长春市宏宇汽车零部件有限公司,4-5,长春-经济技术开发区,民营公司,150-500人,汽车,"['五险一金', '免费班车', '高温补贴', '专业培训']","""无需经验"""
会计,吉林省中研高分子材料股份有限公司,4-5,长春,民营公司,150-500人,原材料和加工,[''],"""大专"""
吉林 延吉全渠道销售,华润五丰米业（中国）有限公司,5-7,异地招聘,国企,1000-5000人,快速消费品(食品、饮料、化妆品),"['绩效奖金', '带薪年假', '五险一金', '节日福利', '交通补贴', '通讯补贴']","""大专"""
石药集团零售代表（心血管长春）(J13974),石药集团,10-12,长春,民营公司,10000人以上,制药\生物工程,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金']","""大专"""
省区推广经理（吉林省）,上海同联制药有限公司,22-24,长春,民营公司,150-500人,制药\生物工程,"['周末双休', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金']","""本科"""
网络营销,吉林省萌哈乐宠物用品有限公司,2-4,长春-汽车产业开发区,民营公司,少于50人,生活服务,[''],"""高中"""
合伙人,阳光人寿保险股份有限公司吉林分公司,48-60,长春-南关区,国企,10000人以上,保险,[''],"""大专"""
医药销售代表\高级医药销售代表,青岛益腾商务咨询有限公司,6-24,长春-朝阳区,外企代表处,150-500人,制药\生物工程,"['五险一金', '员工旅游', '通讯补贴', '餐饮补贴', '交通补贴', '专业培训', '年终奖金', '绩效奖金']","""大专"""
招募全职带货主播待遇丰厚,福建省掌经天下资产管理有限公司,6-18,长春-宽城区,民营公司,500-1000人,专业服务(咨询、人力资源、财会),['五险一金'],"""无需经验"""
诚聘车城车位销售底薪+提成,福州伯乐企业管理服务有限公司,5-10,长春-汽车产业开发区,民营公司,150-500人,专业服务(咨询、人力资源、财会),"['全勤奖', '绩效奖金', '节日福利', '弹性工作', '专业培训', '带薪年假', '交通补贴', '五险一金']","""无需经验"""
刷脸支付.无感支付.招城市经理人.互联网运营,济南致诺网络科技有限公司,50-60,长春,民营公司,150-500人,计算机软件,[''],"""高中"""
渠道支持经理,畅捷通信息技术股份有限公司,8-11,异地招聘,上市公司,500-1000人,会计\审计,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '定期体检', '弹性工作', '专业培训']","""本科"""
基层医疗业务代表,三诺生物传感股份有限公司,7-10,长春,民营公司,1000-5000人,医疗设备\器械,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '节日福利', '弹性工作', '带薪年假', '交通补贴']","""大专"""
监控室消防监控员,长春欧诚商贸有限公司,4-5,长春-南关区,民营公司,150-500人,快速消费品(食品、饮料、化妆品),[''],"""高中"""
声音直播,上海奥奥文化传媒有限公司,7-10,长春,民营公司,500-1000人,影视\媒体\艺术\文化传播,[''],['']
制药行业销售工程师,励诺流体系统技术（上海）有限公司,7-10,长春-朝阳区,民营公司,少于50人,制药\生物工程,"['销售绩效奖金', '五险一金', '员工旅游', '出国机会', '专业培训']","""本科"""
区域销售经理——5000无责底薪,广州奥昆食品有限公司,11-16,长春,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),"['交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '入职五险一金', '员工旅游', '驻地补贴', '五险一金', '住房补贴']","""大专"""
运营经理,吉林省松江佰顺米业有限公司,10-18,长春-经济技术开发区,民营公司,150-500人,快速消费品(食品、饮料、化妆品),[''],"""大专"""
市场推广专员,东方雨虹民用建材有限责任公司,12-18,异地招聘,上市公司,500-1000人,建筑\建材\工程,[''],"""大专"""
高薪诚聘置业顾问-甲方自销团队,中企凯利实业有限公司,3-4,长春-绿园区,民营公司,150-500人,房地产,"['午餐补助', '五险一金', '绩效奖金', '周末双休', '重点项目', '高额提成']","""大专"""
财务专员,纳通医疗集团,5-7,长春-南关区,民营公司,1000-5000人,医疗设备\器械,"['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '住房补贴', '通讯补贴', '节日福利', '带薪年假', '免费班车']","""本科"""
区域销售代表（home office（家庭办公））,沈阳福柯斯恩自动化工程有限公司,4-5,长春-高新技术产业开发区,民营公司,少于50人,仪器仪表\工业自动化,"['专业培训', '交通补贴', '通讯补贴', '做五休二', '五险']","""大专"""
外贸专员,吉林省武圆光电科技有限公司,4-12,长春-绿园区,民营公司,少于50人,贸易\进出口,[''],"""中专"""
库管员,吉林省天泉饮品有限责任公司,4-5,长春-九台区,民营公司,50-150人,批发\零售,[''],"""大专"""
销售助理,吉林省吉润房地产顾问有限公司,5-7,长春-南关区,合资,50-150人,房地产,"['五险一金', '员工旅游', '定期团建']","""无需经验"""
产业招商经理,亿达软件新城管理有限公司,12-18,异地招聘,民营公司,500-1000人,房地产,"['五险一金', '餐饮补贴', '年终奖金', '定期体检', '带薪年假', '周末双休']","""本科"""
联通5G销售合伙人,长春市义利通讯设备有限公司,4-6,长春-朝阳区,合资,少于50人,机械\设备\重工,[''],"""大专"""
房地产 策划,吉林省麓人文化传播有限公司,5-7,长春-南关区,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""大专"""
医药销售代表,吉林源雪腾贸易有限公司,7-10,长春-二道区,民营公司,少于50人,医疗设备\器械,[''],"""大专"""
长春 临床监查员 CRA,荣昌生物制药（烟台）有限公司,6-12,长春,民营公司,500-1000人,制药\生物工程,"['五险一金', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专"""
市场专员,吉林省汉成教育科技有限公司,5-10,长春-净月经济开发区,合资,少于50人,计算机软件,['福利面议'],"""大专"""
总经理助理,三亚广安门健康管理有限公司,18-24,长春-净月经济开发区,民营公司,150-500人,医疗\护理\卫生,"['五险一金', '餐补', '员工旅游', '带薪年假']","""本科"""
营销中心-招商经理,重庆赛诺生物药业股份有限公司,6-10,异地招聘,民营公司,150-500人,制药\生物工程,"['五险', '绩效奖金', '年终奖金', '周末双休']","""大专"""
医药公司运营经理,吉林省国康盈盛医养有限公司,12-18,长春-净月经济开发区,民营公司,50-150人,医疗\护理\卫生,[''],"""大专"""
招商专员,长春快付信息技术有限公司,6-12,长春-南关区,民营公司,50-150人,互联网\电子商务,"['弹性工作', '带薪年假', '节日福利', '专业培训', '绩效奖金']","""高中"""
临时工,吉林省团房帮房地产有限公司,2-2,异地招聘,民营公司,,房地产,[''],"""大专"""
医美耗材销售代表,浙江巡航贸易有限公司,10-18,长春-朝阳区,民营公司,50-150人,医疗\护理\卫生,"['交通补贴', '五险', '节日福利', '弹性工作', '扁平化管理']","""大专"""
休闲食品销售经理,江苏忠意食品集团有限公司,10-12,异地招聘,民营公司,1000-5000人,农\林\牧\渔,"['五险一金', '免费班车', '餐饮补贴', '通讯补贴']","""大专"""
英语翻译,黑龙江添缘科技开发有限公司,6-8,异地招聘,民营公司,50-150人,专业服务(咨询、人力资源、财会),"['专业培训', '绩效奖金', '弹性工作', '周末双休', '带薪年假', '全勤奖']","""本科"""
总裁助理,苏商建设集团有限公司,7-18,异地招聘,民营公司,10000人以上,多元化业务集团公司,"['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '出国机会', '绩效奖金']","""大专"""
长春应化所科研聘用,长春市联禹化学科技有限公司,2-8,长春-朝阳区,事业单位,150-500人,学术\科研,"['补充养老保险', '失业保险', '医疗保险', '工伤生育险', '住房公积金']",['']
推广专员,长春市迈思教育咨询有限公司,12-36,长春-绿园区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
收银员,吉林心悦营销策划有限公司,4-5,长春-朝阳区,民营公司,50-150人,房地产,[''],"""高中"""
装配钳工学徒,吉林省长二机床集团有限公司,3-4,长春-九台区,合资,50-150人,原材料和加工,[''],"""中技"""
办公室文员,吉林省上电科技有限公司,4-5,长春,民营公司,150-500人,汽车,"['五险一金', '周末双休', '节日福利']","""本科"""
经营经理（长春）,新城悦物业服务股份有限公司天津分公司,8-11,长春,民营公司,10000人以上,物业管理\商业中心,"['员工旅游', '餐饮补贴', '五险一金']","""大专"""
销售主管（青岛）,图尔克（天津）传感器有限公司,12-18,长春-高新技术产业开发区,外资（欧美）,150-500人,仪器仪表\工业自动化,"['补充医疗保险', '交通补贴', '绩效奖金', '定期体检', '餐饮补贴', '通讯补贴', '五险一金', '专业培训']","""本科"""
电话销售经理,长春市建通科技开发有限责任公司,4-5,异地招聘,民营公司,少于50人,计算机软件,[''],"""大专"""
电商专员\助理(可实习),广州名星科技有限公司,5-7,异地招聘,民营公司,50-150人,互联网\电子商务,"['专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '员工旅游', '股票期权']","""中专"""
吸塑师傅,南京爱丽莎家具有限公司,7-10,异地招聘,民营公司,50-150人,家具\家电\玩具\礼品,[''],"""初中及以下"""
内勤,吉林国正商贸有限公司,3-3,长春-南关区,民营公司,150-500人,贸易\进出口,"['周末双休', '五险', '法定假日']","""无需经验"""
省区招商经理（吉林）,江苏康林贝医疗器械有限公司,7-10,异地招聘,民营公司,150-500人,医疗设备\器械,"['五险一金', '专业培训', '年终奖金', '定期体检']","""大专"""
市场经理（沈阳\长春）,沁园集团股份有限公司,10-12,长春,合资,1000-5000人,家具\家电\玩具\礼品,"['包住宿', '免费班车', '绩效奖金', '全勤奖', '节日福利', '五险一金', '餐饮补贴']","""大专"""
动销专员,吉林省海山医药有限公司,5-7,长春-南关区,民营公司,500-1000人,制药\生物工程,[''],"""高中"""
硬笔书法老师\助教,长春市宏图华章教育咨询有限公司,4-5,长春-朝阳区,民营公司,,教育\培训\院校,[''],"""大专"""
Java开发工程师,吉林省智慧互联信息科技有限公司,7-10,长春-朝阳区,民营公司,少于50人,计算机软件,"['五险一金', '餐饮补贴', '年终奖金', '定期体检']","""大专"""
大客户销售（2021年毕业生专属职位）,北京中星微电子有限公司,7-14,异地招聘,外资（欧美）,500-1000人,通信\电信\网络设备,"['餐饮补贴', '通讯补贴', '定期体检', '全额五险一金', '5天8小时', '高温补贴', '商业保险', '不定期聚餐', '补充医疗保险']","""本科"""
高薪招聘护士医助岗位,吉林东方中医院,2-4,长春,非营利组织,150-500人,医疗\护理\卫生,[''],"""中专"""
教学主任,长春市盖伦教育培训学校,5-10,长春-南关区,民营公司,150-500人,教育\培训\院校,[''],"""本科"""
运营专员,吉林省元良臻品经贸有限公司,4-5,长春-二道区,合资,,贸易\进出口,[''],"""本科"""
新零售成人用品项目合伙人,大连晋胜源商贸有限公司,18-24,长春-朝阳区,民营公司,50-150人,互联网\电子商务,"['公司重点项目', '大牛带队', '付出有回报', '合伙制度']","""无需经验"""
西班牙语翻译,青岛太平洋海洋工程有限公司,18-24,异地招聘,外资（非欧美）,150-500人,多元化业务集团公司,"['五险一金', '免费班车', '定期体检']","""大专"""
